,conv_type,it,node,t,pred
0,gconv,0,60,0.0,0.025767045095562935
1,gconv,0,60,0.0020040080416947603,0.02916022390127182
2,gconv,0,60,0.004008016083389521,0.03233502805233002
3,gconv,0,60,0.006012024357914925,0.035340387374162674
4,gconv,0,60,0.008016032166779041,0.038013752549886703
5,gconv,0,60,0.010020039975643158,0.04029049351811409
6,gconv,0,60,0.01202404871582985,0.04264875873923302
7,gconv,0,60,0.014028056524693966,0.04460340738296509
8,gconv,0,60,0.016032064333558083,0.04638988897204399
9,gconv,0,60,0.018036073073744774,0.048300065100193024
10,gconv,0,60,0.020040079951286316,0.05025218799710274
11,gconv,0,60,0.022044088691473007,0.0526232048869133
12,gconv,0,60,0.0240480974316597,0.05495574697852135
13,gconv,0,60,0.02605210430920124,0.057705577462911606
14,gconv,0,60,0.028056113049387932,0.06094273179769516
15,gconv,0,60,0.030060119926929474,0.06419209390878677
16,gconv,0,60,0.032064128667116165,0.06836691498756409
17,gconv,0,60,0.034068137407302856,0.07299254089593887
18,gconv,0,60,0.03607214614748955,0.07778715342283249
19,gconv,0,60,0.03807615488767624,0.08319927006959915
20,gconv,0,60,0.04008015990257263,0.08899196237325668
21,gconv,0,60,0.04208416864275932,0.09585452824831009
22,gconv,0,60,0.044088177382946014,0.10318199545145035
23,gconv,0,60,0.046092186123132706,0.11047229915857315
24,gconv,0,60,0.0480961948633194,0.11808644980192184
25,gconv,0,60,0.05010020360350609,0.125924214720726
26,gconv,0,60,0.05210421234369278,0.1342368721961975
27,gconv,0,60,0.05410821735858917,0.14262953400611877
28,gconv,0,60,0.056112226098775864,0.15110638737678528
29,gconv,0,60,0.058116234838962555,0.1591729372739792
30,gconv,0,60,0.060120243579149246,0.16730058193206787
31,gconv,0,60,0.06212425231933594,0.17511388659477234
32,gconv,0,60,0.06412825733423233,0.18386079370975494
33,gconv,0,60,0.06613226234912872,0.19203613698482513
34,gconv,0,60,0.06813627481460571,0.20000724494457245
35,gconv,0,60,0.0701402798295021,0.20836040377616882
36,gconv,0,60,0.0721442922949791,0.2160375416278839
37,gconv,0,60,0.07414829730987549,0.22288891673088074
38,gconv,0,60,0.07615230977535248,0.2297239452600479
39,gconv,0,60,0.07815631479024887,0.23644700646400452
40,gconv,0,60,0.08016031980514526,0.24369002878665924
41,gconv,0,60,0.08216432482004166,0.2496037483215332
42,gconv,0,60,0.08416833728551865,0.2562900483608246
43,gconv,0,60,0.08617234230041504,0.26292306184768677
44,gconv,0,60,0.08817635476589203,0.2687445878982544
45,gconv,0,60,0.09018035978078842,0.2744116485118866
46,gconv,0,60,0.09218436479568481,0.27914562821388245
47,gconv,0,60,0.0941883772611618,0.28450870513916016
48,gconv,0,60,0.0961923897266388,0.28940141201019287
49,gconv,0,60,0.09819639474153519,0.2944222688674927
50,gconv,0,60,0.10020040720701218,0.2994941473007202
51,gconv,0,60,0.10220441222190857,0.3034072816371918
52,gconv,0,60,0.10420842468738556,0.3085513412952423
53,gconv,0,60,0.10621242970228195,0.3133038878440857
54,gconv,0,60,0.10821643471717834,0.3173588514328003
55,gconv,0,60,0.11022044718265533,0.3221719264984131
56,gconv,0,60,0.11222445219755173,0.32606005668640137
57,gconv,0,60,0.11422845721244812,0.32979249954223633
58,gconv,0,60,0.11623246967792511,0.3343804180622101
59,gconv,0,60,0.1182364746928215,0.3390192985534668
60,gconv,0,60,0.12024048715829849,0.34362825751304626
61,gconv,0,60,0.12224449217319489,0.3473227024078369
62,gconv,0,60,0.12424850463867188,0.3510560989379883
63,gconv,0,60,0.12625250220298767,0.35523974895477295
64,gconv,0,60,0.12825651466846466,0.3588501513004303
65,gconv,0,60,0.13026052713394165,0.36191076040267944
66,gconv,0,60,0.13226452469825745,0.36436545848846436
67,gconv,0,60,0.13426853716373444,0.36798638105392456
68,gconv,0,60,0.13627254962921143,0.3717106878757477
69,gconv,0,60,0.13827654719352722,0.374411940574646
70,gconv,0,60,0.1402805596590042,0.3769491910934448
71,gconv,0,60,0.1422845721244812,0.3791351616382599
72,gconv,0,60,0.1442885845899582,0.3821380138397217
73,gconv,0,60,0.14629259705543518,0.38477107882499695
74,gconv,0,60,0.14829659461975098,0.3864753246307373
75,gconv,0,60,0.15030060708522797,0.3881239593029022
76,gconv,0,60,0.15230461955070496,0.38981905579566956
77,gconv,0,60,0.15430861711502075,0.3917088508605957
78,gconv,0,60,0.15631262958049774,0.39304202795028687
79,gconv,0,60,0.15831664204597473,0.39371439814567566
80,gconv,0,60,0.16032063961029053,0.3943147659301758
81,gconv,0,60,0.16232465207576752,0.3950922191143036
82,gconv,0,60,0.1643286496400833,0.3956854045391083
83,gconv,0,60,0.1663326621055603,0.395509272813797
84,gconv,0,60,0.1683366745710373,0.39500901103019714
85,gconv,0,60,0.17034068703651428,0.3944561183452606
86,gconv,0,60,0.17234468460083008,0.3937305212020874
87,gconv,0,60,0.17434869706630707,0.39258649945259094
88,gconv,0,60,0.17635270953178406,0.3907763957977295
89,gconv,0,60,0.17835672199726105,0.3887835144996643
90,gconv,0,60,0.18036071956157684,0.38663700222969055
91,gconv,0,60,0.18236473202705383,0.38425213098526
92,gconv,0,60,0.18436874449253082,0.38130560517311096
93,gconv,0,60,0.1863727569580078,0.3780582845211029
94,gconv,0,60,0.1883767545223236,0.37456291913986206
95,gconv,0,60,0.1903807669878006,0.37073299288749695
96,gconv,0,60,0.1923847794532776,0.36670246720314026
97,gconv,0,60,0.19438879191875458,0.3619501292705536
